id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,mineable,exchange,payments
362,CloakCoin,CLOAK,6,2014-06-07 0:00:00,-1.00E+05,5844640.563,5844640.563,1043,0.692875558,12575.86951,-17.7728,-1.16458862,-15.49363462,-43.05076689,-47.93031441,-5.38462302,97.71024753,4049608.593,0,4049608.59,No,No,No
10373,Tulip Protocol,TULIP,9,2021-06-09 0:00:00,1.00E+07,815205.7809,1.00E+07,1044,4.952450264,171626.5039,-0.5779,0.58774181,-3.15947748,-41.82937463,-60.55799254,-52.25142809,-58.97898025,4037266.085,0,49524502.64,No,No,No
14745,Kromatika,KROM,5,2021-11-18 3:46:05,1.00E+08,80280675,1.00E+08,1045,0.050190526,374874.1679,45.3865,-1.34913266,6.65792461,-23.17917104,-56.03947017,44.34153648,-47.93980153,4029329.322,0,5019052.62,No,No,No
12813,Sinverse,SIN,13,2021-10-17 13:16:59,-1.00E+05,144327435.6,1.00E+09,1046,0.027909831,3720402.938,29.9138,0.57536581,2.07346382,-36.94736707,-33.3999257,-55.34971535,-77.99287236,4028154.341,0,27909831.03,No,No,No
13969,Phoenix Global (new),PHB,3,2021-11-05 14:03:22,-1.00E+05,37136774.79,37136774.79,1047,0.107089464,360009.8277,-34.3865,0.23145553,-4.04109821,-18.20224608,-46.91184791,-44.25413332,-62.42614028,3976957.303,0,3976957.3,No,No,No
3935,SparkPoint,SRK,11,2019-05-14 0:00:00,-1.00E+05,8483374090,13444612245,1048,0.000465983,98310.3665,-62.5057,-0.31090732,-0.67192253,-29.51770159,-59.14994867,-60.68540314,-74.23548881,3953105.361,0,6264956.39,No,No,No
2316,DeepBrain Chain,DBC,11,2017-12-28 0:00:00,1.00E+10,3.20E+09,1.00E+10,1049,0.001228186,92786.94718,105.3026,-1.42624131,-1.76628186,-28.1596902,-36.35435137,-24.94196764,-60.76398698,3930194.211,3.00E-04,12281856.91,No,No,No
6194,Geeq,GEEQ,9,2020-08-04 0:00:00,1.00E+08,14705556,1.00E+08,1050,0.266474804,205078.8828,-26.8079,-0.15594975,-10.89849273,-23.17562179,-37.96037954,-30.80446212,-51.70937746,3918660.159,0,26647480.44,No,No,No
8519,Xend Finance,XEND,15,2021-02-19 0:00:00,2.00E+08,107160249.4,2.00E+08,1051,0.036481293,1315754,50.0412,0.204788,-0.75799429,-33.42834216,-52.38006629,-56.02939292,-64.89783768,3909344.488,0,7296258.66,No,No,No
18208,Kunci Coin,KUNCI,18,2022-02-21 5:21:21,4.50E+10,34733859.79,4.50E+10,1052,0.112508717,8424141.706,21.024,0.15217296,1.21100226,-10.65032358,-52.96171518,-74.58993909,14.15942602,3907861.991,0,5062892251,No,No,No
